Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Heart Points,Heart Minutes,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Dancing duration (ms),Treadmill running duration (ms),Swimming duration (ms),Yoga duration (ms)
2019-12-10,1901.0266418766537,7277.372476100922,42.3123087,-71.1184866,42.3693106,-71.0363199,1.110810706353354,18.49977684020996,0.06910092383623123,12884,,,,150,72.0,72,576821,69682888,7274753,,,,,
2019-12-11,1708.543086404137,5272.619507014751,42.3117763,-71.1190998,42.3318701,-71.0365517,1.1972130699629886,20.319971084594727,0.2668529450893402,7375,,,,88,26.0,26,,73888853,4010277,,,,,
2019-12-12,1720.4509151794637,6645.300068883225,42.3742101,-71.119902,42.3826129,-71.0959937,0.8941585119609068,14.423975944519043,0.2559766173362732,10017,,,,105,54.0,53,,78336763,4506568,,,,,
2019-12-13,1829.801930053534,10152.906976801343,42.3125647,-71.1221357,42.3807988,-71.0349779,1.3853901559551556,14.612076759338379,0.2623535990715027,10848,,,,125,58.0,57,695043,69650443,5733665,,,,,
2019-12-14,1704.72906070786,3641.1276595294476,42.3423722,-71.2095118,42.4710674,-71.1214878,1.6689344038440912,32.849788665771484,0.018393447622656822,6527,,,,73,14.0,14,,71283226,4169600,,,,,
2019-12-15,1675.3624323919282,4266.960952311754,42.3309331,-71.1184741,42.3836933,-71.0541544,0.9594637574741481,14.307787895202637,0.2524013817310333,6308,,,,62,36.0,33,,75765461,3361351,129021,,,,
2019-12-16,1663.8732555046672,4207.202519014478,42.3311115,-71.1181927,42.3569955,-71.0541638,1.0171860963994073,12.373838424682617,0.12449232488870621,7486,,,,73,40.0,36,,73150477,3472285,,,,,
2019-12-17,1667.6231128936272,4188.669112145901,42.3555109,-71.1577963,42.3646647,-71.0579094,1.0238353159027893,12.89537239074707,0.2558751404285431,7059,,,,77,25.0,25,,73933026,3625428,,,,,
2019-12-18,1796.3035512399451,6901.673739783466,42.3125337,-71.0990384,42.3567716,-71.035174,0.7883549736669035,13.757163047790527,0.0,10896,,,,132,60.0,60,711840,69824413,5153027,,,,,
2019-12-19,1664.02997327558,5408.1360894441605,42.3247723,-71.1261605,42.3789141,-71.1152425,0.9358656080154054,18.813199996948242,0.11692529171705246,6146,,,,69,38.0,35,400832,73136430,3103752,,,,,
2019-12-20,1960.7511165069961,8608.119709551334,,,,,1.214674666090095,19.108076095581055,0.26290178298950195,14220,,,,164,58.0,58,,61909021,8962648,,,,,
2019-12-21,1770.0883893569471,5211.247151374817,,,,,0.9149501596719446,14.000224113464355,0.2559766173362732,8924,,,,97,33.0,33,,72986573,5503124,,,,,
2019-12-22,1610.5344671238636,2569.6822783350945,,,,,0.9823927841079234,13.824501991271973,0.24437133967876434,5010,,,,60,3.0,3,,76639953,2157949,191100,,,,
2019-12-23,1740.0761686114283,5342.216219723225,,,,,2.0351216283581657,31.389745712280273,0.25213879346847534,9413,,,,114,26.0,26,,74461811,4955687,,,,,
2019-12-24,1620.2946386692718,2431.0665190815926,,,,,26.319077912360218,232.42999267578125,0.2559766173362732,4552,,,,59,7.0,7,,77170623,2770830,,,,,
2019-12-25,2125.0830731437613,13123.277874648571,,,,,1.6716286398083364,31.7578067779541,0.2606534957885742,22158,,,,253,67.0,67,,71578787,11422023,244482,,,,
2019-12-26,1856.8021692284194,7923.936573326588,,,,,5.632152608476214,34.809688568115234,0.24776841700077057,13674,,,,162,40.0,40,,64441148,7084814,,,,,
2019-12-27,2010.3096493889054,8015.546006381512,,,,,4.183510447568399,34.52689743041992,0.2515508532524109,13794,,,,175,31.0,31,,57709940,9884843,,,,,
2019-12-28,1877.6236524986755,4816.147509992123,,,,,3.6167508188067843,32.79110336303711,0.2559766173362732,8834,,,,118,36.0,36,1015623,55332912,6378957,,,,,
2019-12-29,1805.3359295045966,5602.628931462765,,,,,7.845492845017743,37.760894775390625,0.2536044716835022,9991,,,,120,17.0,17,,62166934,6146052,,,,,
2019-12-30,2110.938160115896,9992.476830720901,,,,,4.042109545234589,34.67698287963867,0.2509820759296417,17195,,,,216,37.0,37,,54894778,11720347,,,,,
2019-12-31,2276.760369869677,12637.379567623138,,,,,1.0446471636387316,5.309999942779541,0.24438481032848358,20976,,,,237,78.0,78,,65769764,14744998,,,,,
2020-01-01,1823.376591718966,6803.619776070118,,,,,29.361652496584078,296.9100036621094,0.25827035307884216,11487,,,,122,46.0,46,,61741514,6475120,,,,,
2020-01-02,1632.8676412446187,4176.552884101868,,,,,0.9707418912333451,1.7725732326507568,0.45362767577171326,6567,,,,61,42.0,40,,80451909,3000167,,,,,
2020-01-03,1871.4537306553266,8137.628772199154,,,,,0.8061673161263595,2.0526108741760254,0.24699567258358002,13031,,,,137,66.0,66,,73915552,7352067,,,,,
2020-01-04,1814.6722503641915,7073.105117082596,,,,,1.411342676671456,21.495420455932617,0.2512568533420563,11254,,,,121,56.0,52,,67870488,6309985,,,,,
2020-01-05,1767.5353451184437,4887.680651545525,,,,,4.629373298852185,34.55001449584961,0.2559766173362732,7972,,,,78,39.0,36,,65428143,5454516,,,,,
2020-01-06,1635.2434579182,4374.882012605667,,,,,0.9113775285072733,4.9632487297058105,0.24906183779239655,7121,,,,75,31.0,30,,75721656,3039740,,,,,
2020-01-07,1747.8633696382797,4814.263553678989,,,,,1.0148874222690392,1.707539677619934,0.27177873253822327,7917,,,,88,36.0,36,,68362859,5097730,,,,,
